date,name,value
1943-01-01,Charbon,51740
1943-01-01,Energie du bois,31270
1943-01-01,Chaleur à distance,0
1943-01-01,Déchets industriels,0
1943-01-01,Carburants biogènes,0
1943-01-01,Biogaz,0
1943-01-01,Soleil,0
1943-01-01,Chaleur ambiante,0
1944-01-01,Combustibles,650
1944-01-01,Carburants,1510
1944-01-01,Electricité,24200
1944-01-01,Gaz,3480
1944-01-01,Charbon,41320
1944-01-01,Energie du bois,30260
1944-01-01,Chaleur à distance,0
1944-01-01,Déchets industriels,0
1944-01-01,Carburants biogènes,0
1944-01-01,Biogaz,0
1944-01-01,Soleil,0
1944-01-01,Chaleur ambiante,0
1945-01-01,Combustibles,670
1945-01-01,Carburants,480
1945-01-01,Electricité,27550
1945-01-01,Gaz,2430
1945-01-01,Charbon,42620
1945-01-01,Energie du bois,32920
1945-01-01,Chaleur à distance,0
1945-01-01,Déchets industriels,0
1945-01-01,Carburants biogènes,0
1945-01-01,Biogaz,0
1945-01-01,Soleil,0
1945-01-01,Chaleur ambiante,0
1946-01-01,Combustibles,8690
1946-01-01,Carburants,6300
1946-01-01,Electricité,29650
1946-01-01,Gaz,2820
1946-01-01,Charbon,44940
1946-01-01,Energie du bois,34230
1946-01-01,Chaleur à distance,0
1946-01-01,Déchets industriels,0
1946-01-01,Carburants biogènes,0
1946-01-01,Biogaz,0
1946-01-01,Soleil,0
1946-01-01,Chaleur ambiante,0
1947-01-01,Combustibles,17450
1947-01-01,Carburants,10910
1947-01-01,Electricité,28220
1947-01-01,Gaz,3300
1947-01-01,Charbon,56480
1947-01-01,Energie du bois,22310
1947-01-01,Chaleur à distance,0
1947-01-01,Déchets industriels,0
1947-01-01,Carburants biogènes,0
1947-01-01,Biogaz,0
1947-01-01,Soleil,0
1947-01-01,Chaleur ambiante,0
1948-01-01,Combustibles,16060
1948-01-01,Carburants,13630
1948-01-01,Electricité,31950
1948-01-01,Gaz,3650
1948-01-01,Charbon,59670
1948-01-01,Energie du bois,23030
1948-01-01,Chaleur à distance,0
1948-01-01,Déchets industriels,0
1948-01-01,Carburants biogènes,0
1948-01-01,Biogaz,0
1948-01-01,Soleil,0
1948-01-01,Chaleur ambiante,0
1949-01-01,Combustibles,19360
1949-01-01,Carburants,13870
1949-01-01,Electricité,28330
1949-01-01,Gaz,3740
1949-01-01,Charbon,59780
1949-01-01,Energie du bois,20730
1949-01-01,Chaleur à distance,0
1949-01-01,Déchets industriels,0
1949-01-01,Carburants biogènes,0
1949-01-01,Biogaz,0
1949-01-01,Soleil,0
1949-01-01,Chaleur ambiante,0
1950-01-01,Combustibles,23670
1950-01-01,Carburants,19070
1950-01-01,Electricité,31780
1950-01-01,Gaz,3770
1950-01-01,Charbon,67690
1950-01-01,Energie du bois,21720
1950-01-01,Chaleur à distance,0
1950-01-01,Déchets industriels,0
1950-01-01,Carburants biogènes,0
1950-01-01,Biogaz,0
1950-01-01,Soleil,0
1950-01-01,Chaleur ambiante,0
1951-01-01,Combustibles,26470
1951-01-01,Carburants,19860
1951-01-01,Electricité,36780
1951-01-01,Gaz,3870
1951-01-01,Charbon,70750
1951-01-01,Energie du bois,21550
1951-01-01,Chaleur à distance,0
1951-01-01,Déchets industriels,0
1951-01-01,Carburants biogènes,0
1951-01-01,Biogaz,0
1951-01-01,Soleil,0
1951-01-01,Chaleur ambiante,0
1952-01-01,Combustibles,27580
1952-01-01,Carburants,22820
1952-01-01,Electricité,37770
1952-01-01,Gaz,3930
1952-01-01,Charbon,74120
1952-01-01,Energie du bois,21320
1952-01-01,Chaleur à distance,0
1952-01-01,Déchets industriels,0
1952-01-01,Carburants biogènes,0
1952-01-01,Biogaz,0
1952-01-01,Soleil,0
1952-01-01,Chaleur ambiante,0
1953-01-01,Combustibles,30410
1953-01-01,Carburants,24480
1953-01-01,Electricité,39200
1953-01-01,Gaz,3970
1953-01-01,Charbon,61560
1953-01-01,Energie du bois,19940
1953-01-01,Chaleur à distance,0
1953-01-01,Déchets industriels,0
1953-01-01,Carburants biogènes,0
1953-01-01,Biogaz,0
1953-01-01,Soleil,0
1953-01-01,Chaleur ambiante,0
1954-01-01,Combustibles,40680
1954-01-01,Carburants,26590
1954-01-01,Electricité,40560
1954-01-01,Gaz,4050
1954-01-01,Charbon,71990
1954-01-01,Energie du bois,18280
1954-01-01,Chaleur à distance,0
1954-01-01,Déchets industriels,0
1954-01-01,Carburants biogènes,0
1954-01-01,Biogaz,0
1954-01-01,Soleil,0
1954-01-01,Chaleur ambiante,0
1955-01-01,Combustibles,47690
1955-01-01,Carburants,30750
1955-01-01,Electricité,44780
1955-01-01,Gaz,4030
1955-01-01,Charbon,75330
1955-01-01,Energie du bois,18120
1955-01-01,Chaleur à distance,0
1955-01-01,Déchets industriels,0
1955-01-01,Carburants biogènes,0
1955-01-01,Biogaz,0
1955-01-01,Soleil,0
1955-01-01,Chaleur ambiante,0
1956-01-01,Combustibles,64000
1956-01-01,Carburants,37070
1956-01-01,Electricité,46120
1956-01-01,Gaz,4190
1956-01-01,Charbon,81280
1956-01-01,Energie du bois,17250
1956-01-01,Chaleur à distance,0
1956-01-01,Déchets industriels,0
1956-01-01,Carburants biogènes,0
1956-01-01,Biogaz,0
1956-01-01,Soleil,0
1956-01-01,Chaleur ambiante,0
1957-01-01,Combustibles,62490
1957-01-01,Carburants,37800
1957-01-01,Electricité,48120
1957-01-01,Gaz,4130
1957-01-01,Charbon,74920
1957-01-01,Energie du bois,17820
1957-01-01,Chaleur à distance,0
1957-01-01,Déchets industriels,0
1957-01-01,Carburants biogènes,0
1957-01-01,Biogaz,0
1957-01-01,Soleil,0
1957-01-01,Chaleur ambiante,0
1958-01-01,Combustibles,74750
1958-01-01,Carburants,43180
1958-01-01,Electricité,50120
1958-01-01,Gaz,4100
1958-01-01,Charbon,67360
1958-01-01,Energie du bois,16560
1958-01-01,Chaleur à distance,0
1958-01-01,Déchets industriels,0
1958-01-01,Carburants biogènes,0
1958-01-01,Biogaz,0
1958-01-01,Soleil,0
1958-01-01,Chaleur ambiante,0
1959-01-01,Combustibles,77190
1959-01-01,Carburants,48790
1959-01-01,Electricité,51780
1959-01-01,Gaz,4060
1959-01-01,Charbon,68510
1959-01-01,Energie du bois,15110
1959-01-01,Chaleur à distance,0
1959-01-01,Déchets industriels,0
1959-01-01,Carburants biogènes,0
1959-01-01,Biogaz,0
1959-01-01,Soleil,0
1959-01-01,Chaleur ambiante,0
1960-01-01,Combustibles,95300
1960-01-01,Carburants,55310
1960-01-01,Electricité,57210
1960-01-01,Gaz,4120
1960-01-01,Charbon,68080
1960-01-01,Energie du bois,14520
1960-01-01,Chaleur à distance,0
1960-01-01,Déchets industriels,0
1960-01-01,Carburants biogènes,0
1960-01-01,Biogaz,0
1960-01-01,Soleil,0
1960-01-01,Chaleur ambiante,0
1961-01-01,Combustibles,103560
1961-01-01,Carburants,66090
1961-01-01,Electricité,60270
1961-01-01,Gaz,4090
1961-01-01,Charbon,63270
1961-01-01,Energie du bois,14170
1961-01-01,Chaleur à distance,0
1961-01-01,Déchets industriels,0
1961-01-01,Carburants biogènes,0
1961-01-01,Biogaz,0
1961-01-01,Soleil,0
1961-01-01,Chaleur ambiante,0
1962-01-01,Combustibles,134470
1962-01-01,Carburants,71260
